Symbol,Direction,Entry Price,Entry Time,Exit Price,Exit Time,P/L,Reason
NVDA,short,469.5,2023-11-09 05:00:00+00:00,497.56306714285716,2023-11-14 05:00:00+00:00,-298.8612049292563,stop_loss
MSFT,short,360.53,2023-11-07 05:00:00+00:00,374.67992857142855,2023-11-16 05:00:00+00:00,-196.23787994658665,stop_loss
AAPL,short,186.4,2023-11-10 05:00:00+00:00,192.30817857142858,2023-11-22 05:00:00+00:00,-158.4811848559168,stop_loss
NVDA,short,496.56,2023-11-14 05:00:00+00:00,453.3539357142857,2023-12-04 05:00:00+00:00,435.0538130912107,take_profit
AMD,short,118.59,2023-11-10 05:00:00+00:00,126.35768142857144,2023-12-07 05:00:00+00:00,-327.5015359040153,stop_loss
META,short,336.31,2023-11-14 05:00:00+00:00,352.2507485714286,2023-12-19 05:00:00+00:00,-236.99486443205035,stop_loss
TSLA,short,242.84,2023-11-15 05:00:00+00:00,262.3269285714286,2023-12-27 05:00:00+00:00,-401.2297926912492,stop_loss
AMD,short,137.61,2023-12-12 05:00:00+00:00,146.16021857142857,2023-12-27 05:00:00+00:00,-310.6685041577123,stop_loss
MSFT,short,376.17,2023-11-16 05:00:00+00:00,376.04,2023-12-29 05:00:00+00:00,1.7279421538133748,end_of_backtest
META,short,354.09,2023-12-21 05:00:00+00:00,353.96,2023-12-29 05:00:00+00:00,1.8356914908638406,end_of_backtest
AMD,short,148.76,2023-12-28 05:00:00+00:00,147.41,2023-12-29 05:00:00+00:00,45.37510083355722,end_of_backtest
