symbol,combined_score,seasonal_score,technical_score,seasonal_direction,technical_direction,direction_aligned,regime_aligned,momentum_score,trend_score,volatility_score,volume_score,price,atr_pct,date
AMD,0.7052672072792977,0.5,0.6580299409762493,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.6151497048812467,0,0,2024-01-01
INTC,0.6936744165880897,0.5,0.6436913006655407,LONG,LONG,True,True,0.44999999999999996,0.8,0.7704818763326227,0.5729746269950811,0,0,2024-01-01
META,0.6696720388761856,0.5,0.6140037586594751,LONG,LONG,True,True,0.44999999999999996,0.7514158770530346,0.6646021342201703,0.6032928434976539,0,0,2024-01-01
JPM,0.6552171765805488,0.5,0.5961251411014826,LONG,LONG,True,True,0.44999999999999996,0.8,0.5341767447719827,0.5714489607354303,0,0,2024-01-01
HD,0.5539795758187852,0.5,0.5394279943112723,LONG,SHORT,False,True,0.25,0.8,0.5821399715563613,0.54,0,0,2024-01-01
AMD,0.7052672072792977,0.5,0.6580299409762493,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.6151497048812467,0,0,2024-01-02
INTC,0.6936744165880897,0.5,0.6436913006655407,LONG,LONG,True,True,0.44999999999999996,0.8,0.7704818763326227,0.5729746269950811,0,0,2024-01-02
META,0.6696720388761856,0.5,0.6140037586594751,LONG,LONG,True,True,0.44999999999999996,0.7514158770530346,0.6646021342201703,0.6032928434976539,0,0,2024-01-02
JPM,0.6552171765805488,0.5,0.5961251411014826,LONG,LONG,True,True,0.44999999999999996,0.8,0.5341767447719827,0.5714489607354303,0,0,2024-01-02
HD,0.5539795758187852,0.5,0.5394279943112723,LONG,SHORT,False,True,0.25,0.8,0.5821399715563613,0.54,0,0,2024-01-02
JPM,0.6667594138671851,0.5,0.6104012540101237,LONG,LONG,True,True,0.44999999999999996,0.8,0.5451951334927274,0.6318111365578908,0,0,2024-01-03
INTC,0.6212469366918943,0.5,0.6309482131862508,LONG,NEUTRAL,False,True,0.5053792569659443,0.8,0.8,0.39667218048233743,0,0,2024-01-03
