symbol,direction,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,regime,strategy,reason
QQQ,LONG,2023-03-06 05:00:00+00:00,2023-03-07 05:00:00+00:00,300.02,296.34,1,-3.680000000000007,-1.2265848943403797,unknown,trend_following,Reversed position due to new SHORT signal
NVDA,LONG,2023-03-06 05:00:00+00:00,2023-03-07 05:00:00+00:00,235.54,232.88,1,-2.6599999999999966,-1.1293198607455195,unknown,trend_following,Reversed position due to new SHORT signal
QQQ,SHORT,2023-03-07 05:00:00+00:00,2023-03-08 05:00:00+00:00,296.34,297.82,1,-1.4800000000000182,-0.4994263346156504,unknown,trend_following,Reversed position due to new LONG signal
NVDA,SHORT,2023-03-07 05:00:00+00:00,2023-03-08 05:00:00+00:00,232.88,241.81,1,-8.930000000000007,-3.834592923394026,unknown,trend_following,Reversed position due to new LONG signal
QQQ,LONG,2023-03-08 05:00:00+00:00,2023-03-09 05:00:00+00:00,297.82,292.66,1,-5.159999999999968,-1.7325901551272473,unknown,trend_following,Reversed position due to new SHORT signal
AAPL,LONG,2023-03-06 05:00:00+00:00,2023-03-09 05:00:00+00:00,153.83,150.59,1,-3.240000000000009,-2.106221153221094,unknown,trend_following,Reversed position due to new SHORT signal
MSFT,LONG,2023-03-06 05:00:00+00:00,2023-03-09 05:00:00+00:00,256.87,252.32,1,-4.550000000000011,-1.771324016039246,unknown,trend_following,Reversed position due to new SHORT signal
AMZN,LONG,2023-03-06 05:00:00+00:00,2023-03-09 05:00:00+00:00,93.75,92.25,1,-1.5,-1.6,unknown,trend_following,Reversed position due to new SHORT signal
GOOGL,LONG,2023-03-06 05:00:00+00:00,2023-03-09 05:00:00+00:00,95.13,92.32,1,-2.8100000000000023,-2.9538526227267976,unknown,trend_following,Reversed position due to new SHORT signal
NVDA,LONG,2023-03-08 05:00:00+00:00,2023-03-09 05:00:00+00:00,241.81,234.36,1,-7.449999999999989,-3.0809313097059627,unknown,trend_following,Reversed position due to new SHORT signal
